PM Name,PM Description,Instruction 1,Instruction 2,Instruction 3,Instruction 4,Instruction 5,Instruction 6,Instruction 7,Instruction 8,Instruction 9,Instruction 10,Asset ID,Scheduling start on (MM/DD/YYYY),Repeat X Days,Repeat X Weeks,Repeat X Months,Repeat X Years,Assigned To User (user login),Assigned To Team (team name),Part ID,Part Suggested Qty,Default Priority Level,Estimated Time (in minutes),Always Create New PMs,Recalculate on PM Completion,Task Status Configuration (Green),Task Status Configuration (Orange),Task Status Configuration (Red)
931.28-CHECK A...,,"CHECK AIR FILTERS. REPLACE IF NEEDED.  FILTERS - 20""X20""X2"" / QTY - 5",,,,,,,,,,550,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
931.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE ANY DEFECTIVE COMPONENTS.,,,,,,,,,,550,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
931.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BELTS, PULLEYS, BEARINGS, SHAFTS, COUPLINGS, HUBS AND DUCTING COMPONENTS. BELTS - 5VX950 / QTY - 2",,,,,,,,,,550,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
931.90-CLEAN C...,,CLEAN CONDENSOR WITH ALKI-FOAM,,,,,,,,,,550,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
932.28-CHECK A...,,"CHECK AIR FILTERS. REPLACE IF NEEDED.  FILTERS - 20""X20""X2"" / QTY - 3",,,,,,,,,,551,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
932.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE ANY DEFECTIVE COMPONENTS.,,,,,,,,,,551,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
932.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BELTS, PULLEYS, BEARINGS, SHAFTS, COUPLINGS, HUBS AND DUCTING COMPONENTS. BELTS - AX94 / QTY - 1",,,,,,,,,,551,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
932.90-CLEAN C...,,CLEAN CONDENSOR WITH ALKI-FOAM,,,,,,,,,,551,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
933.28-CHECK A...,,"CHECK AIR FILTERS. REPLACE IF NEEDED.  FILTERS - 20""X20""X2"" / QTY - 1",,,,,,,,,,552,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
933.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE ANY DEFECTIVE COMPONENTS.,,,,,,,,,,552,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
933.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BELTS, PULLEYS, BEARINGS, SHAFTS, COUPLINGS, HUBS AND DUCTING COMPONENTS. ",,,,,,,,,,552,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
933.90-CLEAN C...,,CLEAN CONDENSOR WITH ALKI-FOAM,,,,,,,,,,552,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
936.28-CHECK A...,,CHECK AIR FILTERS. REPLACE IF NEEDED.  ,,,,,,,,,,555,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
936.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE ANY DEFECTIVE COMPONENTS.,,,,,,,,,,555,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
936.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BELTS, PULLEYS, BEARINGS, SHAFTS, COUPLINGS, HUBS AND DUCTING COMPONENTS. ",,,,,,,,,,555,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
936.90-CLEAN C...,,CLEAN CONDENSOR WITH ALKI-FOAM,,,,,,,,,,555,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
938.90-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BEARINGS, SHAFTS, CHAIN, SPROCKETS, GUIDES, WEAR STRIPS, PUSHERS AND FRAMEWORK. REPAIR AS NEEDED",,,,,,,,,,557,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
