PM Name,PM Description,Instruction 1,Instruction 2,Instruction 3,Instruction 4,Instruction 5,Instruction 6,Instruction 7,Instruction 8,Instruction 9,Instruction 10,Asset ID,Scheduling start on (MM/DD/YYYY),Repeat X Days,Repeat X Weeks,Repeat X Months,Repeat X Years,Assigned To User (user login),Assigned To Team (team name),Part ID,Part Suggested Qty,Default Priority Level,Estimated Time (in minutes),Always Create New PMs,Recalculate on PM Completion,Task Status Configuration (Green),Task Status Configuration (Orange),Task Status Configuration (Red)
532.28-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. REPAIR AS NEEDED.,,,,,,,,,,389,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,
532.14-INSPECT...,,INSPECT BUTTER APPLICATOR CYLINDERS AND SEALS FOR LEAKS OR DAMAGED PARTS. REPLACE AS NEEDED.,,,,,,,,,,389,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
532.14-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED. ,,,,,,,,,,389,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
532.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,389,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,
532.14-CHECK C...,,CHECK CONDITION OF CUTTER/SEAL BAR ASSEMBLY. REPLACE KNIFE AND ANVIL IF THEY ARE SHOWING EXCESSIVE WEAR.,,,,,,,,,,389,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
562.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BEARINGS, SHAFTS, BELTS, ROLLS, WEAR STRIPS, BUSHINGS, LINKAGES, BRAKE UNITS, CHAINS AND SPROCKETS. ",,,,,,,,,,451,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,
562.14-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. REPAIR OR REPLACE IF NEEDED. ,,,,,,,,,,451,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
562.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,451,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,
562.90-CHECK O...,,CHECK OIL LEVEL AND CONDITION IN GEARBOXES. REPLACE OIL OR REPLACE GEARBOX IF NEEDED. ,,,,,,,,,,451,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,
562.14-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED. ,,,,,,,,,,451,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.7-INSPECT...,,"INSPECT CONDITION AND OPERATION OF SLICER BLADES DRIVE PULLEYS, BEARINGS, SHAFTS, SPINDLES, GUIDES, AND TENSIONER.",,,,,,,,,,427,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,
534.14-INSPECT...,,"INSPECT CONDITION AND OPERATION OF SLICER PRESSURE BELTS, PRESSURE BELT ROLLERS AND DRIVE ASSEMBLY. REPLACE WORN BELTS OR OTHER COMPONENTS IF NEEDED.",,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.14-INSPECT...,,"INSPECT CONDITION AND OPERATION OF SLICER BLADE MOTOR, DRIVE BELT, PULLEYS AND BRAKE UNIT.",,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.14-LUBE AN...,,LUBE AND INSPECT BLADE HEIGHT ADJUSTING ASSEMBLY. CHECK HEIGHT ADJUSTMENT FOR PARALLEL. ADJUST LINKAGE IF NEEDED.,,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.14-REMOVE ...,,"REMOVE THE SLICER BLADES, CLEAN AND LUBRICATE STEMS WITH PETROLATUM.  CHECK THE CONDITION OF THE SLEEVES AND O-RINGS.  REPLACE IF NEEDED.",,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.14-CHECK T...,,"CHECK THAT THE SLICER BLADES ARE ALL AT THE SAME HEIGHT, I.E. LEVEL WITH EACH OTHER.  ADJUST IF NEEDED.",,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
534.14-CHECK T...,,CHECK THE OPERATION AND CONDITION OF THE SCREWDRIVERS AND THE UPPER AND LOWER DRIVE O-RINGS.  REPLACE OR REPAIR IF NEEDED.,,,,,,,,,,427,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
536.7-INSPECT...,,"INSPECT CONDITION AND OPERATION OF SLICER BLADE DRIVE PULLEYS, BEARINGS, SHAFTS, GUIDES, AND TENSIONER.",,,,,,,,,,429,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,
536.14-INSPECT...,,"INSPECT CONDITION AND OPERATION OF SLICER PRESSURE BELTS, PRESSURE BELT ROLLERS AND DRIVE ASSEMBLY. REPLACE WORN BELTS OR OTHER COMPONENTS IF NEEDED.",,,,,,,,,,429,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,
