PM Name,PM Description,Instruction 1,Instruction 2,Instruction 3,Instruction 4,Instruction 5,Instruction 6,Instruction 7,Instruction 8,Instruction 9,Instruction 10,Asset ID,Scheduling start on (MM/DD/YYYY),Repeat X Days,Repeat X Weeks,Repeat X Months,Repeat X Years,Assigned To User (user login),Assigned To Team (team name),Part ID,Part Suggested Qty,Default Priority Level,Estimated Time (in minutes),Always Create New PMs,Recalculate on PM Completion,Task Status Configuration (Green),Task Status Configuration (Orange),Task Status Configuration (Red)
102.28-INSPECT...,,"INSPECT OIL IN ALL GEARBOXES. TAKE SAMPLES IF NEEDED, DEPENDING ON CONDITION REPLACE OIL OR REPLACE THE GEARBOX.",,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
102.28-INSPECT...,,"INSPECT CONDITION AND OPERATION OF ALL ELECTRICAL COMONENTS INCLUDING PHOTO EYES, PROXIMITY SWITCHES, CAM SWITCHES, BUTTONS, E-STOPS EXC. ",,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
102.28-LUBE AN...,,"LUBE AND INSPECT ALL PNEUMATIC COMPONENTS INCLUDING CLUTCH/BRAKE UNITS, VALVES, CYLINDERS EXC. ",,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
102.14-INSPECT...,,"INSPECT AND LUBRICATE ALL CONVEYOR TABLE TOP CHAINS, SPROCKETS AND WEAR STRIPS",,,,,,,,,,160,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
102.7-LUBRICA...,,"LUBRICATE AND INSPECT ALL LOADER/UNLOADER BARS, LINKAGES AND CHAINS. ",,,,,,,,,,160,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
102.28-LUBE AN...,,"LUBE AND INSPECT HUMIDIFIER ASSEMBLY, CHECK CONDITION OF DRIVE BELTS.",,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
102.28-DRAIN H...,,"DRAIN HUMIDIFIER WATER TANK, CLEAN TANK AND SUCTION SCREEN, REFILL WITH FRESH WATER. CHECK HUMIDIFIER FAN ASSEMBLY, INSPECT FAN BELT CONDITION AND TENSION",,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
102.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,160,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
102.28-CHECK T...,,CHECK THE CONDITION OF THE MAIN DRIVE BELT. ,,,,,,,,,,160,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
077.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHAICAL COMPONENTS INCLUDING BEARINGS, CHAINS, LINKAGES AND DRIVE SPROCKETS.",,,,,,,,,,170,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
077.28-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. ,,,,,,,,,,170,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
077.28-INSPECT...,,INSPECT ALL SPRAY AND SPLITTER NOZZLE HEADS. IF TIGHTENING THE PACKING SEAL DOESN'T FIX LEAKS IT MAY BE TIME TO SWAP OUT WITH A FULL SET OF REBUILT NOZZLE HEADS. ,,,,,,,,,,170,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
077.90-CHANGE ...,,CHANGE WATER FILTERS AND INSPECT PLUMBING FOR LEAKS,,,,,,,,,,170,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
077.28-INSPECT...,,INSPECT ALL ELECTRICAL COMPONENTS FOR DAMAGE. ,,,,,,,,,,170,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
077.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,170,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
104.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BEARINGS, BELTS, SPROCKETS, TABLE TOP CHAIN, WEAR STRIPS AND DRIVE CHAINS. ",,,,,,,,,,306,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
104.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,306,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
104.90-INSPECT...,,"INSPECT OIL IN ALL GEARBOXES. TAKE SAMPLES IF NEEDED, DEPENDING ON CONDITION REPLACE OIL OR REPLACE THE GEARBOX.",,,,,,,,,,306,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
104.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE,,,,,,,,,,306,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
104.14-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. ,,,,,,,,,,306,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
107.7-GRAPHIT...,,GRAPHITE MAIN CHAIN AND LUBRICATE LOADER/UNLOADER CAM FOLLOWERS,,,,,,,,,,173,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
107.28-LUBE AN...,,"LUBE AND INSPECT OVEN UNLOADER MECHAINCAL COMPONENTS, CAM FOLLOWERS, RAILS, DRIVE CHAINS, BEARINGS, BUSHINGS, CLUTCH/BRAKE, AND SPROCKETS.",,,,,,,,,,173,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
107.28-LUBE AN...,,"LUBE AND INSPECT MAIN DRIVE TRANSMISSION ASSEMBLY, INCLUDING BRAKE ASSEMBLY, SHEAVES, BEARINGS, CHAINS, AND ADJUSTING ASSEMBLIES",,,,,,,,,,173,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
107.90-INSPECT...,,"INSPECT OIL IN ALL GEARBOXES. TAKE SAMPLES IF NEEDED, DEPENDING ON CONDITION REPLACE OIL OR REPLACE THE GEARBOX.",,,,,,,,,,173,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
107.14-LUBE AN...,,"LUBE AND INSPECT ALL LOADER/UNLOADER MECHAINCAL COMPONENTS INCLUDING MOTOR BRAKES, BEARINGS, CHAINS, LINKAGES, BELTS, TABLE TOP CHAIN AND WEAR STRIPS. ",,,,,,,,,,173,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
107.28-LUBE AN...,,"LUBE AND INSPECT ALL EXHAUST AND COLORAIDER FAN UNITS, CHECK TENSION AND CONDITION OF ALL V-BELTS",,,,,,,,,,173,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
