PM Name,PM Description,Instruction 1,Instruction 2,Instruction 3,Instruction 4,Instruction 5,Instruction 6,Instruction 7,Instruction 8,Instruction 9,Instruction 10,Asset ID,Scheduling start on (MM/DD/YYYY),Repeat X Days,Repeat X Weeks,Repeat X Months,Repeat X Years,Assigned To User (user login),Assigned To Team (team name),Part ID,Part Suggested Qty,Default Priority Level,Estimated Time (in minutes),Always Create New PMs,Recalculate on PM Completion,Task Status Configuration (Green),Task Status Configuration (Orange),Task Status Configuration (Red)
039.28-INSPECT...,,"INSPECT CONDITION AND OPERATION OF GREASE GUNS, HOSES AND OVERHEAD PIPING.",,,,,,,,,,174,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
039.28-INSPECT...,,INSPECT PUMP AND ASSOCIATED VALVES FOR PROPER OPERATION AND REPAIR AS NEEDED.,,,,,,,,,,174,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
168.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE,,,,,,,,,,237,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
168.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,237,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
168.28-CHECK G...,,CHECK GLYCOL PLUMBING LINES FOR LEAKS OR DAMAGE. REPAIR AS NEEDED,,,,,,,,,,237,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
060.14-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,189,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
060.28-INSPECT...,,INSPECT CONDITION AND LEVEL OF HYDRAULIC FLUID. ADD OR REPLACE FLUID AS NEEDED. ,,,,,,,,,,189,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
060.180-CHANGE ...,,CHANGE THE HYDRAULIC OIL FILTER,,,,,,,,,,189,6/15/2022,180,,,,,Technician,,,3,30,1,0,0,-1,-2
060.28-CHECK H...,,"CHECK HYDRAULIC SYSTEM FOR DAMAGED HOSES OR PIPING AND CHECK FOR ANY LEAKS, REPAIR AS NEEDED.",,,,,,,,,,189,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
060.28-CHECK C...,,CHECK CONDITION AND OPERATION OF TRO PUSHER ASSEMBLIES.  LUBRICATE ALL MOVING PARTS AND ENSURE SPRING LATCHES ARE WORKING PROPERLY,,,,,,,,,,189,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
060.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE.,,,,,,,,,,189,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
060.90-CHECK O...,,CHECK OIL IN ALL GEAR BOXES,,,,,,,,,,189,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
060.365-CHANGE ...,,CHANGE OIL IN ALL GEARBOXES. IF SEVERE CONTAMINATION IS FOUND GO AHEAD AND REPLACE THE GEARBOX. ,,,,,,,,,,189,6/15/2022,365,,,,,Technician,,,3,30,1,0,0,-1,-2
